  Time (Seconds) , FPS , Current Stage 
1,,Scanning Environment
2,  49,Vuforia Tracking
3,  41,Vuforia Tracking
4,  44,Vuforia Tracking
5,  49,Vuforia Tracking
6,  55,Vuforia Tracking
7,  53,Vuforia Tracking
8,  67,Vuforia Tracking
9,  45,Vuforia Tracking
10,  59,Vuforia Tracking
11,  42,Vuforia Tracking
12,  50,Vuforia Tracking
13,  65,Vuforia Tracking
14,  64,Vuforia Tracking
15,  58,Vuforia Tracking
16,  48,Vuforia Tracking
17,  59,Vuforia Tracking
18,  61,Vuforia Tracking
19,  59,Vuforia Tracking
20,  41,Vuforia Tracking
21,  54,Vuforia Tracking
22,  44,Vuforia Tracking
23,  50,Robot Stabilized
24,  58,Robot Stabilized
25,  48,Robot Stabilized
26,  43,Robot Stabilized
27,  52,Robot Stabilized
28,  57,Robot Stabilized
29,  42,Robot Stabilized
30,  45,Robot Stabilized
31,  39,Robot Stabilized
32,  42,Robot Stabilized
33,  41,Robot Stabilized
34,  54,Robot Stabilized
35,  49,Robot Stabilized
36,  53,Robot Stabilized
37,  43,Robot Stabilized
38,  52,Robot Stabilized
39,  54,Start planning path
40,  61,Start planning path
41,  58,Start planning path
42,  60,Start planning path
43,  59,Start planning path
44,  60,Start planning path
45,  53,Start planning path
46,  61,Start planning path
47,  60,Start planning path
48,  60,Start planning path
49,  59,Start planning path
50,  60,Start planning path
51,  59,Start planning path
52,  61,Start planning path
53,  59,Start planning path
54,  51,Start planning path
55,  58,Start planning path
56,  59,Start planning path
57,  60,Start planning path
58,  60,Start planning path
59,  60,Start planning path
60,  61,Start planning path
61,  60,Start planning path
62,  60,Start planning path
63,  60,Start planning path
64,  60,Start planning path
65,  62,Start planning path
66,  59,Start planning path
67,  63,Start planning path
68,  59,Start planning path
69,  60,Start planning path
70,  60,Start planning path
71,  58,Start planning path
72,  60,Start planning path
73,  59,Start planning path
74,  49,Start planning path
75,  61,Start planning path
76,  61,Start planning path
77,  56,Start planning path
78,  58,Start planning path
79,  58,Start planning path
80,  56,Start planning path
81,  61,Start planning path
82,  60,Start planning path
83,  56,Start planning path
84,  62,Start planning path
85,  61,Start planning path
86,  58,Start planning path
87,  61,Start planning path
88,  58,Start planning path
89,  59,Start planning path
90,  64,Start planning path
91,  60,Start planning path
92,  62,Start planning path
93,  58,Start planning path
94,  61,Start planning path
95,  61,Start planning path
96,  45,Start planning path
97,  49,Start planning path
98,  49,Start planning path
99,  54,Start planning path
100,  54,Start planning path
101,  59,Start planning path
102,  59,Start planning path
103,  60,Start planning path
104,  60,Start planning path
105,  59,Start planning path
106,  60,Start planning path
107,  59,Start planning path
108,  59,Start planning path
109,  60,Start planning path
110,  62,Start planning path
111,  60,Start planning path
112,  58,Start planning path
113,  60,Start planning path
114,  59,Start planning path
115,  60,Start planning path
116,  60,Start planning path
117,  62,Start planning path
118,  62,Start planning path
119,  59,Start planning path
120,  59,Start planning path
121,  60,Start planning path
122,  59,Start planning path
123,  60,Start planning path
124,  59,Start planning path
125,  60,Start planning path
126,  59,Start planning path
127,  40,Start planning path
128,  59,Start planning path
129,  59,Start planning path
130,  58,Start planning path
131,  49,Start planning path
132,  50,Start planning path
133,  50,Start planning path
134,  40,Start planning path
135,  34,Start planning path
136,  39,Start planning path
137,  56,Start planning path
138,  65,Start planning path
139,  42,Start planning path
140,  60,Start planning path
141,  49,Start planning path
142,  41,Path end reached
143,  45,Start executing path
144,  38,Start executing path
145,  46,Start executing path
146,  62,Start executing path
147,  62,Start executing path
148,  50,Start executing path
149,  53,Start executing path
150,  44,Start executing path
151,  44,Start executing path
152,  54,Start executing path
153,  43,Start executing path
154,  52,Path end reached
155,  51,Path end reached
156,  53,Path end reached
157,  45,Path end reached
158,  54,Path end reached
159,  52,Path end reached
160,  42,Path end reached
161,  43,Path end reached
162,  49,Path end reached
163,  42,Path end reached
164,  40,Path end reached
165,  52,Path end reached
166,  50,Path end reached
167,  45,Path end reached
168,  53,Path end reached
169,  39,Path end reached
170,  42,Path end reached
171,  49,Path end reached
172,  56,Path end reached
173,  52,Path end reached
174,  42,Path end reached
